Time (min),% dissolved,SEM
0,0,0
5,40,4.97956577654064
10,50.69,1.88687120366161
20,61.57,1.47381069186743
30,66.81,2.11821794942556
45,73.18,1.5764194744686
60,77.24,1.51813762973149
90,83.95,0.332072584405557
120,82.84,1.4992918806381
180,88.42,0.70361913239737
240,91.33,0.358498461089525
300,96,1.31409390122919
