Time (min),% dissolved,SEM
0,0,0
5,34.74,3.6415683135843
10,42.67,3.39809787520988
20,55.11,2.58602877910149
30,62.56,1.4310667010375
45,68.1,1.16236986885882
60,71.52,0.819970801571
90,75.88,0.947031737392309
120,77.27,0.506180569710997
180,80.34,0.692126538306364
240,83.04,0.450327846607849
300,85.04,0.249413254391179
