Time (min),% dissolved,SEM
0,0,0
10,0,0
20,0.11046568,0.453922455926046
30,0.45969501,0.566743159918073
60,1.05338727,0.601866212756673
90,1.45047089,0.479218417807647
150,1.95415116,0.28031724656729
210,2.44871069,0.179770027677421
300,2.80152545,0.0617892384438177
