Time (min),% dissolved,SEM
0,0,0
5,0,0
10,1.17805536,0.124049522385845
20,4.3109216,0.509914922779985
30,7.74227982,0.869898959230708
45,11.5879107,1.202603111386
60,13.7781994,0.980967678548359
90,16.3007267,0.90255950662258
120,17.9251493,0.723381329294611
180,19.2406265,0.382952326038404
240,20.0906604,0.180744333912151
300,20.7138479,0.430109325141635
