Time (min),% dissolved,SEM
0,0,0
10,76.45,4.73297948976636
20,85.42,3.20012166743682
30,91.18,1.38785729099865
60,95.27,0.248242765694756
90,97.14,0.202773369074246
150,97.8,0.209161031341836
210,98.98,0.0966562572696014
300,100.15,0.30097613048111
