Time (min),% dissolved,SEM
0,0,0
5,69.34,6.9125310125779
10,78.16,0.769351266225264
20,80.24,0.299366250403728
30,82.34,0.193652507710978
45,85.13,0.800037801336509
60,87.49,0.97557393825651
90,91.19,1.34495702692091
120,94.21,1.47173595467443
180,97.77,1.40735777544944
240,99.73,1.59123727157567
300,100.59,1.47684793464036
